director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Peter Jackson,512,186,8000,628,James Nesbitt,972,258355354,Adam Brown,The Hobbit: The Desolation of Smaug ,510007,4219,Dean O'Gorman,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,962,English,USA,PG-13,225000000,2013,786,7.9,83000
Peter Jackson,426,164,8000,628,James Nesbitt,972,255108370,Adam Brown,The Hobbit: The Battle of the Five Armies ,381959,4219,Dean O'Gorman,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,815,English,New Zealand,PG-13,250000000,2014,786,7.4,65000
Rob Marshall,450,136,282,1000,Sam Claflin,40000,241063875,Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,391480,54155,Stephen Graham,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,489,English,USA,PG-13,250000000,2011,11000,6.7,58000
Bryan Singer,431,169,0,948,Marlon Brando,18000,200069408,Kevin Spacey,Superman Returns ,246110,30003,Frank Langella,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,2371,English,USA,PG-13,209000000,2006,10000,6.1,4000
Marc Forster,404,106,410,420,Mathieu Amalric,457,168368427,Giancarlo Giannini,Quantum of Solace ,345949,2211,Rory Kinnear,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,1243,English,UK,PG-13,200000000,2008,424,6.6,6000
Gore Verbinski,314,151,575,1000,Orlando Bloom,40000,423032628,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,547787,48566,Jack Davenport,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,1836,English,USA,PG-13,225000000,2006,5000,7.3,0
Joss Whedon,709,173,0,19000,Robert Downey Jr.,26000,623279547,Chris Hemsworth,The Avengers ,1039866,87697,Scarlett Johansson,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,1732,English,USA,PG-13,220000000,2012,21000,8.1,123000
Andrew Adamson,258,150,83,201,Pierfrancesco Favino,22000,141614023,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,158367,22712,Damián Alcázar,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,441,English,USA,PG,225000000,2008,215,6.6,0
Zack Snyder,739,143,0,757,Ayelet Zurer,15000,291021565,Henry Cavill,Man of Steel ,573612,17545,Harry Lennix,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,2557,English,USA,PG-13,225000000,2013,764,7.1,118000
Marc Webb,610,153,467,957,Andrew Garfield,15000,262030663,Emma Stone,The Amazing Spider-Man ,471540,28514,Chris Zylka,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,1230,English,USA,PG-13,230000000,2012,10000,7,56000
Colin Trevorrow,659,124,372,890,Bryce Dallas Howard,3000,652177271,Chris Pratt,Jurassic World ,450801,8717,Lauren Lapkus,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,1323,English,USA,PG-13,150000000,2015,3000,7,151000
Michael Bay,370,150,0,463,Kevin Dunn,912,402076689,Glenn Morshower,Transformers: Revenge of the Fallen ,334263,3360,Ramon Rodriguez,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,1447,English,USA,PG-13,200000000,2009,590,6,0
Barry Sonnenfeld,450,106,194,843,Josh Brolin,10000,179020854,Will Smith,Men in Black 3 ,276924,15811,Michael Stuhlbarg,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,345,English,USA,PG-13,225000000,2012,3000,6.8,40000
Michael Bay,384,165,0,841,Sophia Myles,983,245428137,Bingbing Li,Transformers: Age of Extinction ,253890,4095,Kelsey Grammer,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,934,English,USA,PG-13,210000000,2014,967,5.7,56000
Brett Ratner,333,104,485,564,Kelsey Grammer,20000,234360014,Hugh Jackman,X-Men: The Last Stand ,403623,21750,Daniel Cudmore,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,1922,English,Canada,PG-13,210000000,2006,841,6.7,0
Peter Berg,379,131,567,627,Alexander Skarsgård,14000,65173160,Liam Neeson,Battleship ,209328,26763,Tadanobu Asano,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,761,English,USA,PG-13,209000000,2012,10000,5.8,44000
Chris Weitz,251,113,130,531,Kristin Scott Thomas,16000,70083519,Christopher Lee,The Golden Compass ,154365,18155,Dakota Blue Richards,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,671,English,UK,PG-13,180000000,2007,1000,6.1,0
Peter Jackson,445,201,8000,68,Evan Parke,942,218051260,Thomas Kretschmann,King Kong ,332297,1182,Craig Hall,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2630,English,New Zealand,PG-13,207000000,2005,84,7.2,0
James Cameron,316,194,7000,13000,Kate Winslet,29000,658672302,Leonardo DiCaprio,Titanic ,837717,58251,Bill Paxton,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,2551,English,USA,PG-13,200000000,1997,14000,7.7,27000
Gareth Edwards,601,133,435,846,Jimmy Smits,2000,531958137,Diego Luna,Rogue One ,294957,5659,Ben Mendelsohn,http://www.imdb.com/title/tt3748528/?ref_=fn_tt_tt_1,1195,English,USA,PG-13,200000000,2016,995,8,99000
Andrew Stanton,526,97,476,751,Diane Keaton,3000,486292984,Ty Burrell,Finding Dory ,150000,7105,Albert Brooks,http://www.imdb.com/title/tt2277860/?ref_=fn_tt_tt_1,337,English,USA,PG,200000000,2016,2000,7.4,63000
Lee Unkrich,457,103,125,1000,Don Rickles,15000,414984497,Tom Hanks,Toy Story 3 ,581549,20454,John Ratzenberger,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,741,English,USA,G,200000000,2010,2000,8.3,30000
Shane Black,614,195,0,1000,Don Cheadle,21000,408992272,Robert Downey Jr.,Iron Man 3 ,586532,25777,Stephanie Szostak,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,1198,English,China,PG-13,200000000,2013,3000,7.2,95000
Sam Raimi,295,135,0,4000,James Franco,24000,373377893,J.K. Simmons,Spider-Man 2 ,435618,43414,Kirsten Dunst,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,1312,English,USA,PG-13,200000000,2004,11000,7.3,0
Tim Burton,454,108,13000,11000,Alan Rickman,40000,334185206,Johnny Depp,Alice in Wonderland ,322900,76995,Anne Hathaway,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,745,English,USA,PG,200000000,2010,25000,6.5,25000
Sam Mendes,757,143,0,420,Helen McCrory,882,304360277,Albert Finney,Skyfall ,544517,2084,Rory Kinnear,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,1507,English,UK,PG-13,200000000,2012,577,7.8,80000
Dan Scanlon,381,104,37,775,Helen Mirren,12000,268488329,Steve Buscemi,Monsters University ,250470,17889,Tyler Labine,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,272,English,USA,G,200000000,2013,3000,7.3,44000
Bryan Singer,544,151,0,20000,Peter Dinklage,34000,233914986,Jennifer Lawrence,X-Men: Days of Future Past ,547541,94462,Hugh Jackman,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,763,English,USA,PG-13,200000000,2014,22000,8,83000
Sam Raimi,531,130,0,11000,Mila Kunis,44000,234903076,Tim Holmes,Oz the Great and Powerful ,180838,75517,James Franco,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,517,English,USA,PG,215000000,2013,15000,6.3,60000
Marc Webb,513,142,467,828,Andrew Garfield,15000,202853933,Emma Stone,The Amazing Spider-Man 2 ,339576,28670,B.J. Novak,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,1076,English,USA,PG-13,200000000,2014,10000,6.7,41000
John Lasseter,307,106,510,615,Eddie Izzard,942,191450875,Thomas Kretschmann,Cars 2 ,109111,3618,Bonnie Hunt,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,288,English,USA,G,200000000,2011,781,6.3,10000
Joseph Kosinski,469,125,366,1000,Olivia Wilde,12000,172051787,Jeff Bridges,TRON: Legacy ,272810,25559,James Frain,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,671,English,USA,PG,170000000,2010,10000,6.8,30000
Roland Emmerich,369,158,792,245,Tom McCarthy,484,166112167,Liam James,2012 ,296136,1183,Beatrice Rosen,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,1058,English,USA,PG-13,200000000,2009,331,5.8,14000
McG,426,118,379,1000,Bryce Dallas Howard,23000,125320003,Christian Bale,Terminator Salvation ,295552,27484,Common,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,984,English,USA,PG-13,200000000,2009,3000,6.6,0
Mike Newell,306,116,183,234,Richard Coyle,15000,90755643,Jake Gyllenhaal,Prince of Persia: The Sands of Time ,231839,16169,Reece Ritchie,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,463,English,USA,PG-13,200000000,2010,586,6.6,22000
Martin Campbell,438,123,266,383,Taika Waititi,16000,116593191,Ryan Reynolds,Green Lantern ,230912,17842,Temuera Morrison,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,555,English,USA,PG-13,200000000,2011,471,5.6,24000
Michael Bay,431,154,0,590,Lester Speight,912,352358779,Glenn Morshower,Transformers: Dark of the Moon ,336873,2644,Kevin Dunn,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,900,English,USA,PG-13,195000000,2011,847,6.3,46000
Bryan Singer,341,114,0,578,Eddie Marsan,10000,65171860,Mingus Johnston,Jack the Giant Slayer ,111071,11825,Ewen Bremner,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,208,English,USA,PG-13,195000000,2013,1000,6.3,22000
James Wan,433,140,0,14000,Paul Walker,26000,350034110,Jason Statham,Furious 7 ,295247,85155,Vin Diesel,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,671,English,USA,PG-13,190000000,2015,23000,7.2,95000
J.J. Abrams,601,132,14000,953,Bruce Greenwood,19000,228756232,Benedict Cumberbatch,Star Trek Into Darkness ,415618,21470,Noel Clarke,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,1186,English,USA,PG-13,190000000,2013,997,7.8,93000
Marc Forster,657,123,410,1000,Brad Pitt,17000,202351611,Peter Capaldi,World War Z ,491200,33664,Mireille Enos,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,1005,English,USA,PG-13,190000000,2013,12000,7,129000
Baz Luhrmann,493,143,1000,533,Joel Edgerton,29000,144812796,Leonardo DiCaprio,The Great Gatsby ,383456,31802,Elizabeth Debicki,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,779,English,Australia,PG-13,105000000,2013,2000,7.3,115000
Robert Zemeckis,241,96,0,10000,Colin Firth,18000,137850096,Robin Wright,A Christmas Carol ,78780,49058,Gary Oldman,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,257,English,USA,PG,200000000,2009,14000,6.8,0
Peter Sohn,312,93,112,116,Jack McGraw,282,123070338,A.J. Buckley,The Good Dinosaur ,76171,717,Raymond Ochoa,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,364,English,USA,PG,200000000,2015,152,6.8,21000
Guillermo del Toro,581,131,0,918,Clifton Collins Jr.,16000,101785482,Charlie Hunnam,Pacific Rim ,398049,19219,Larry Joe Campbell,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,1122,English,USA,PG-13,190000000,2013,1000,7,83000
Jon Favreau,490,126,0,1000,Jeff Bridges,21000,318298180,Robert Downey Jr.,Iron Man ,732335,35293,Leslie Bibb,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,1065,English,USA,PG-13,140000000,2008,12000,7.9,11000
Christopher Nolan,648,152,22000,11000,Heath Ledger,23000,533316061,Christian Bale,The Dark Knight ,1777848,57831,Morgan Freeman,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,4861,English,USA,PG-13,185000000,2008,13000,9,41000
Steven Spielberg,473,122,14000,1000,Ray Winstone,11000,317011114,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,349117,15045,Jim Broadbent,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,2067,English,USA,PG-13,185000000,2008,1000,6.2,0
Mark Andrews,491,93,55,763,Julie Walters,1000,237282182,John Ratzenberger,Brave ,291409,3020,Craig Ferguson,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,433,English,USA,PG,185000000,2012,849,7.2,40000
Justin Lin,430,122,690,108,Lydia Wilson,138,158804470,Melissa Roxburgh,Star Trek Beyond ,159037,359,Anita Brown,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,683,English,USA,PG-13,185000000,2016,110,7.1,42000
Jordan Vogt-Roberts,426,118,64,245,Jason Mitchell,496,157543697,Shea Whigham,Kong: Skull Island ,69418,1407,John Ortiz,http://www.imdb.com/title/tt3731562/?ref_=fn_tt_tt_1,420,English,USA,PG-13,185000000,2017,284,7,22000
Andrew Adamson,285,150,83,82,Kiran Shah,1000,291709845,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",302257,1323,Shane Rangi,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,1472,English,USA,PG,180000000,2005,193,6.9,0
Robert Stromberg,407,97,172,844,Sharlto Copley,11000,241407328,Angelina Jolie,Maleficent ,266923,15621,Sam Riley,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,645,English,USA,PG,180000000,2014,2000,7,89000
David Yates,392,133,315,646,Samantha Morton,13000,234018657,Eddie Redmayne,Fantastic Beasts and Where to Find Them ,211633,14691,Dan Fogler,http://www.imdb.com/title/tt3183660/?ref_=fn_tt_tt_1,513,English,UK,PG-13,180000000,2016,649,7.5,69000
Andrew Stanton,425,98,476,528,Fred Willard,1000,223806889,John Ratzenberger,WALL·E ,769813,3028,Jeff Garlin,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,1053,English,USA,G,180000000,2008,755,8.4,17000
Brett Ratner,162,91,485,171,Tzi Ma,278,140080850,Dana Ivey,Rush Hour 3 ,126656,1155,Yvan Attal,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,221,English,USA,PG-13,140000000,2007,274,6.2,0
David Yates,297,110,315,108,Alexander Skarsgård,11000,126585313,Christoph Waltz,The Legend of Tarzan ,113114,21207,Casper Crump,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,397,English,UK,PG-13,180000000,2016,10000,6.3,38000
Lana Wachowski,395,127,0,13000,Mila Kunis,17000,47375327,Channing Tatum,Jupiter Ascending ,148859,47426,Eddie Redmayne,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,744,English,USA,PG-13,176000000,2015,15000,5.4,45000
Bryan Singer,449,144,0,4000,Michael Fassbender,34000,155333829,Jennifer Lawrence,X-Men: Apocalypse ,265407,53730,Evan Peters,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,719,English,USA,PG-13,178000000,2016,13000,7.1,61000
Doug Liman,593,113,216,871,Tom Cruise,13000,100189501,Bill Paxton,Edge of Tomorrow ,467136,26719,Lara Pulver,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,767,English,USA,PG-13,178000000,2014,11000,7.9,78000
Pete Docter,552,95,0,316,Phyllis Smith,773,356454367,Mindy Kaling,Inside Out ,409290,2038,Bobby Moynihan,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,808,English,USA,PG,175000000,2015,450,8.2,122000
Martin Scorsese,686,126,17000,1000,Christopher Lee,17000,73820094,Chloë Grace Moretz,Hugo ,257752,36088,Ray Winstone,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,688,English,USA,PG,150000000,2011,16000,7.5,43000
David Ayer,620,134,537,364,David Harbour,10000,325021779,Will Smith,Suicide Squad ,377408,11459,Ike Barinholtz,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,1715,English,USA,PG-13,175000000,2016,406,6.3,105000
Jon Favreau,415,106,0,620,Bill Murray,19000,363995937,Scarlett Johansson,The Jungle Book ,193724,32971,Garry Shandling,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,481,English,UK,PG,175000000,2016,13000,7.5,74000
Pete Docter,412,96,0,283,Delroy Lindo,1000,292979556,John Ratzenberger,Up ,715407,2707,Jess Harnell,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,723,English,USA,PG,175000000,2009,882,8.3,28000
Rob Letterman,221,94,11,145,Stephen Colbert,983,198332128,Rainn Wilson,Monsters vs. Aliens ,120417,1601,Julie White,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,191,English,USA,PG,175000000,2009,471,6.5,0
Stephen Sommers,250,118,211,574,Dennis Quaid,23000,150167630,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,179346,26695,Leo Howard,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,534,English,USA,PG-13,175000000,2009,2000,5.8,0
Barry Sonnenfeld,84,106,194,630,Bai Ling,10000,113745408,Will Smith,Wild Wild West ,133779,12050,M. Emmet Walsh,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,652,English,USA,PG-13,170000000,1999,639,4.8,0
Rob Cohen,264,112,364,181,Russell Wong,5000,102176165,Jet Li,The Mummy: Tomb of the Dragon Emperor ,123627,6141,Isabella Leong,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,505,English,USA,PG-13,145000000,2008,602,5.2,0
Tom Shadyac,184,96,304,7000,Morgan Freeman,87000,100289690,Jimmy Bennett,Evan Almighty ,118932,108115,Steve Carell,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,257,English,USA,PG,175000000,2007,11000,5.4,2000
Roland Joffé,10,109,627,287,Alice Englert,635,,Tamsin Egerton,Time Traveller ,2478,2056,Bipasha Basu,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,19,English,Belgium,R,,2013,544,4.5,715
Jon Favreau,458,124,0,3000,Scarlett Johansson,21000,312057433,Robert Downey Jr.,Iron Man 2 ,552150,44669,Don Cheadle,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,736,English,USA,PG-13,200000000,2010,19000,7,19000
Kevin Reynolds,93,176,63,60,Rick Aviles,717,88246220,Jeanne Tripplehorn,Waterworld ,150129,1021,Zakes Mokae,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,314,English,USA,PG-13,175000000,1995,65,6.1,0
Anthony Russo,583,136,97,2000,Chris Evans,19000,259746958,Scarlett Johansson,Captain America: The Winter Soldier ,536701,34271,Anthony Mackie,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,759,English,USA,PG-13,170000000,2014,11000,7.8,55000
James Gunn,661,121,599,3000,Vin Diesel,14000,333130696,Bradley Cooper,Guardians of the Galaxy ,740282,35477,Chris Pratt,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1,1122,English,USA,PG-13,170000000,2014,14000,8.1,98000
Carl Rinsch,220,128,48,967,Cary-Hiroyuki Tagawa,19000,38297305,Keanu Reeves,47 Ronin ,122665,21993,Jin Akanishi,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,330,English,USA,PG-13,175000000,2013,1000,6.3,36000
Matt Reeves,527,130,219,671,Kodi Smit-McPhee,10000,208543795,Gary Oldman,Dawn of the Planet of the Apes ,335552,12409,Kirk Acevedo,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,622,English,USA,PG-13,170000000,2014,891,7.6,46000
Robert Zemeckis,183,100,0,272,Eddie Deezen,15000,584413,Tom Hanks,The Polar Express ,130769,16299,Peter Scolari,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,454,English,USA,G,165000000,2004,742,6.6,12000
Rupert Sanders,420,132,316,11000,Kristen Stewart,26000,155111815,Chris Hemsworth,Snow White and the Huntsman ,238668,61835,Sam Claflin,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,714,English,USA,PG-13,170000000,2012,17000,6.1,53000
Jonathan Mostow,279,109,86,194,M.C. Gainey,655,150350192,Nick Stahl,Terminator 3: Rise of the Machines ,317886,1812,Carolyn Hennesy,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,1682,English,USA,R,200000000,2003,296,6.4,0
Stephen Sommers,233,131,211,662,Elena Anaya,20000,120025245,Hugh Jackman,Van Helsing ,205688,22958,Richard Roxburgh,http://www.imdb.com/title/tt0338526/?ref_=fn_tt_tt_1,1343,English,USA,PG-13,160000000,2004,1000,6,0
Brad Bird,452,130,678,502,Thomas Robinson,652,93417865,Chris Bauer,Tomorrowland ,141093,3147,Michael Giacchino,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,516,English,USA,PG,190000000,2015,603,6.5,38000
Mike Mitchell,225,93,44,236,Mary Kay Place,4000,238371987,Jon Hamm,Shrek Forever After ,146027,4679,Kathy Griffin,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,177,English,USA,PG,165000000,2010,244,6.3,0
James Bobin,259,113,36,11000,Alan Rickman,40000,77037635,Johnny Depp,Alice Through the Looking Glass ,54804,77829,Anne Hathaway,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,183,English,USA,PG,170000000,2016,25000,6.2,33000
Scott Derrickson,503,109,317,507,Michael Stuhlbarg,19000,232597113,Benedict Cumberbatch,Doctor Strange ,272595,20931,Zara Phythian,http://www.imdb.com/title/tt1211837/?ref_=fn_tt_tt_1,641,English,USA,PG-13,165000000,2016,843,7.6,66000
Dean DeBlois,291,98,254,763,America Ferrera,18000,217387997,Gerard Butler,How to Train Your Dragon ,519399,20480,Craig Ferguson,http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1,502,English,USA,PG,165000000,2010,962,8.2,33000
Don Hall,392,102,39,610,Daniel Henney,770,222487711,Damon Wayans Jr.,Big Hero 6 ,305803,3049,Abraham Benrubi,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,447,English,USA,PG,165000000,2014,720,7.8,42000
Rich Moore,378,101,68,973,Jack McBrayer,5000,189412677,Skylar Astin,Wreck-It Ralph ,288458,9552,Sarah Silverman,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,352,English,USA,PG,165000000,2012,975,7.8,40000
Christopher Nolan,729,169,22000,6000,Anne Hathaway,12000,187991439,Matthew McConaughey,Interstellar ,1033737,33579,Mackenzie Foy,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,2848,English,USA,PG-13,165000000,2014,11000,8.6,354000
Roland Emmerich,340,120,792,829,Vivica A. Fox,6000,103137295,William Fichtner,Independence Day: Resurgence ,122413,9383,Sela Ward,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,703,English,USA,PG-13,165000000,2016,904,5.3,74000
Bill Condon,410,129,437,345,Josh Gad,6000,435939193,Luke Evans,Beauty and the Beast ,80163,7574,Audra McDonald,http://www.imdb.com/title/tt2771200/?ref_=fn_tt_tt_1,552,English,USA,PG,160000000,2017,1000,7.8,69000
Chris Miller,225,93,49,144,Rupert Everett,872,320706665,Eric Idle,Shrek the Third ,223204,1840,Larry King,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1,327,English,USA,PG,160000000,2007,735,6.1,0
Christopher Nolan,655,148,22000,23000,Tom Hardy,29000,292568851,Leonardo DiCaprio,Inception ,1569491,81133,Joseph Gordon-Levitt,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,2872,English,USA,PG-13,160000000,2010,27000,8.8,175000
